INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
50685009,08/31/2008,17:11:00,BRONX,,43,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,1020891.125000000000000,236726.390625000000000,40.81636721700005,-73.86762585699995,POINT (-73.86762585699995 40.81636721700005)
144448395,07/13/2015,01:15:00,BRONX,,43,2,,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK HISPANIC,1018527.187500000000000,243129.906250000000000,40.833952521000072,-73.876133471999935,POINT (-73.87613347199994 40.83395252100007)
210792605,03/10/2020,01:37:00,BRONX,,43,0,,,false,,,,18-24,M,BLACK,1020734.000000000000000,243826.000000000000000,40.835854255000072,-73.868154906999962,POINT (-73.86815490699996 40.83585425500007)
208187330,01/18/2020,01:00:00,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,1011056.937500000000000,240448.140625000000000,40.826617679000037,-73.903139515999953,POINT (-73.90313951599995 40.82661767900004)
213974312,06/08/2020,22:40:00,BROOKLYN,,73,0,,,false,,,,25-44,M,BLACK,1009278.875000000000000,179174.656250000000000,40.658442580000042,-73.909792203999984,POINT (-73.90979220399998 40.65844258000004)
29406945,06/01/2007,23:20:00,BRONX,,46,0,,,false,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1011851.500000000000000,253012.906250000000000,40.86110181600003,-73.900216797999974,POINT (-73.90021679799997 40.86110181600003)
33478093,07/31/2007,02:19:00,BROOKLYN,,67,0,,,false,UNKNOWN,U,UNKNOWN,45-64,M,BLACK,998032.000000000000000,175598.000000000000000,40.648650085000043,-73.950335562999953,POINT (-73.95033556299995 40.64865008500005)
92188123,08/18/2013,21:27:00,QUEENS,,113,0,,,false,,,,25-44,M,BLACK,1046405.000000000000000,187112.640625000000000,40.680047740000077,-73.775909196999976,POINT (-73.77590919699998 40.680047740000084)
12835951,05/06/2006,00:44:00,BROOKLYN,,79,0,,NONE,false,<18,M,BLACK,18-24,M,BLACK,995737.000000000000000,187656.000000000000000,40.681749896000042,-73.958585457999959,POINT (-73.95858545799996 40.68174989600004)
137412596,06/25/2014,04:14:00,BRONX,,48,0,,PVT HOUSE,false,,,,25-44,M,BLACK,1015952.875000000000000,248463.687500000000000,40.84860180000004,-73.885411078999937,POINT (-73.88541107899994 40.84860180000004)
23471261,07/19/2006,23:02:00,BRONX,,46,0,,PVT HOUSE,false,45-64,M,BLACK,25-44,M,BLACK HISPANIC,1007937.812500000000000,250691.578125000000000,40.854741837000063,-73.914373713999964,POINT (-73.91437371399996 40.85474183700006)
